aggregate_ms,backend,baseline_rss_bytes,batch_size,circuit_hash,execute_ms,graph_family,incremental_peak_rss_bytes,initialization_ms,logical_id,n_qubits,p,package_ms,peak_rss_bytes,preprocess_ms,repetition,shots,skip_reason,status,timing_mode,total_ms,transpile_ms
0.49175,statevector,335527936.0,1,a844817ea50ac1d4f580ad256b5533c6818e235e35a9c99ff86fdafbeb176062,3.697083,cycle,16384.0,,m2:cycle:n10:p1:g2026:a1,10,1,0.153583,338132992.0,0.062166,1,4096,,OK,warm_single,24.457623,20.053041
0.2355,statevector,335527936.0,1,961699bacdd1aa07b21cf831a5ec8a3f5644919275c34d69869e49a2c625f8d5,3.709375,cycle,0.0,,m2:cycle:n10:p1:g2026:a2,10,1,0.059334,338132992.0,0.076333,2,4096,,OK,warm_single,24.692584,20.612042
0.24175,statevector,335527936.0,1,13331538567f8b67d21227f9991d1e13ac16850695dcdd237e77d50db288ae09,3.701625,cycle,65536.0,,m2:cycle:n10:p1:g2026:a3,10,1,0.056041,338198528.0,0.061417,3,4096,,OK,warm_single,24.489832999999997,20.429
0.541791,statevector,335527936.0,1,c7ae7e98f2236e5746ed1fe126b5e0813247cac69de4644812c7102ec3597941,3.860292,cycle,16384.0,,m2:cycle:n10:p1:g2027:a0,10,1,0.170708,338214912.0,0.054875,4,4096,,OK,warm_single,24.751041,20.123375
0.501667,statevector,335527936.0,1,dd96f686bf27ea0fa406b91ee16c485f53ec9ebb679ed43a8bbcda714562d659,3.652917,cycle,65536.0,,m2:cycle:n10:p1:g2027:a1,10,1,0.15125,338280448.0,0.127917,5,4096,,OK,warm_single,24.978835,20.545084
0.240541,statevector,335527936.0,1,cf217fc2a30126b87504ec0b1269bc03f266e4bc127f6bc592128fa8b55e5f68,3.58025,cycle,16384.0,,m2:cycle:n10:p1:g2027:a2,10,1,0.064875,338296832.0,0.068,6,4096,,OK,warm_single,24.426166000000002,20.4725
0.237291,statevector,335527936.0,1,6aa8c3b21ab45f81eb780607441299c2f7adddfcff4822fed54826c47585d93c,3.659834,cycle,16384.0,,m2:cycle:n10:p1:g2027:a3,10,1,0.064417,338313216.0,0.063625,7,4096,,OK,warm_single,23.974874999999997,19.949708
0.509042,statevector,335527936.0,1,ab2ca144868c4d37ab639cdccccebaf575417f72c11af80407acc8c939bd4d38,3.65725,cycle,49152.0,,m2:cycle:n10:p1:g2028:a0,10,1,0.155875,338362368.0,0.061666,8,4096,,OK,warm_single,24.403667000000002,20.019834
0.487459,statevector,335527936.0,1,67112694a05ae496cfdbcf3a1da19b4cb2fef507df60c61b34615aa46ecdd6e3,3.74425,cycle,16384.0,,m2:cycle:n10:p1:g2028:a1,10,1,0.15275,338378752.0,0.069292,9,4096,,OK,warm_single,24.961168000000004,20.507417
0.515625,statevector,,1,,4.1795,cycle,,0.066125,,10,2,0.153,,0.1165,,4096,,,cold_start,32.430167,27.399417
0.503333,statevector,335872000.0,1,973d59b8375d4d8882425a84850346588a40f7c7dfe6c04ce57b342eced0e78e,3.882375,cycle,0.0,,m2:cycle:n10:p2:g2026:a0,10,2,0.147375,338329600.0,0.091833,0,4096,,OK,warm_single,25.652333000000002,21.027417
0.045291,statevector,335872000.0,1,994f5445a772671b50fbfe7bd4c4f4c8a03e9a1bb541fb20d4572255d1073152,3.802458,cycle,16384.0,,m2:cycle:n10:p2:g2026:a1,10,2,0.006917,338345984.0,0.087166,1,4096,,OK,warm_single,24.910082000000003,20.96825
0.397167,statevector,335872000.0,1,a72fa722b903e2d692a561458f43516dca16862822ce58aa8580cca63c114d7b,3.860417,cycle,32768.0,,m2:cycle:n10:p2:g2026:a2,10,2,0.128625,338378752.0,0.078417,2,4096,,OK,warm_single,25.666793000000002,21.202167
0.403375,statevector,335872000.0,1,0e2af60f0a70f32481d1947b3c486863854525eb9ce869fc83296708fe6bd665,3.824875,cycle,65536.0,,m2:cycle:n10:p2:g2026:a3,10,2,0.115,338444288.0,0.091542,3,4096,,OK,warm_single,25.380291999999997,20.9455
0.516583,statevector,335872000.0,1,82626f141d06ebd22b1d7abf04a196db66c69764eb88e37a11382ff187524ae2,3.795792,cycle,16384.0,,m2:cycle:n10:p2:g2027:a0,10,2,0.154083,338460672.0,0.082708,4,4096,,OK,warm_single,25.408957,20.859791
0.042083,statevector,335872000.0,1,89341b2f956d2b5e819c758e79682638826cff8da01c22dc7b8d0c2f2c78601d,3.766958,cycle,32768.0,,m2:cycle:n10:p2:g2027:a1,10,2,0.006542,338493440.0,0.090542,5,4096,,OK,warm_single,25.036417,21.130292
0.398625,statevector,335872000.0,1,8de57bda1a5bd50164aa52cfd4fdddc3df6437f24d13ab8d42382c33eb859675,3.719333,cycle,98304.0,,m2:cycle:n10:p2:g2027:a2,10,2,0.112834,338591744.0,0.077833,6,4096,,OK,warm_single,25.413791999999997,21.105167
0.394584,statevector,335872000.0,1,85fbf605eec04bef13c61ae6476e11899270503bd241738050a841a6b064cceb,3.722417,cycle,32768.0,,m2:cycle:n10:p2:g2027:a3,10,2,0.122583,338624512.0,0.085041,7,4096,,OK,warm_single,25.220416999999998,20.895792
0.501875,statevector,335872000.0,1,07b596cf96d4c4ae6df85fe7f267df51ca63354378ea0402fa73b3637aa3d857,3.861416,cycle,32768.0,,m2:cycle:n10:p2:g2028:a0,10,2,0.14725,338657280.0,0.08925,8,4096,,OK,warm_single,25.252333,20.652542
0.041833,statevector,335872000.0,1,7e7c2fc03ff831618b10a65eafc79d594bbd518ed3833ba90b6a5a34caa145cc,3.761875,cycle,49152.0,,m2:cycle:n10:p2:g2028:a1,10,2,0.006208,338706432.0,0.08525,9,4096,,OK,warm_single,24.497166,20.602
0.508125,statevector,,1,,4.36375,cycle,,0.067708,,10,3,0.148416,,0.148334,,4096,,,cold_start,31.287958,26.051625
0.486417,statevector,335446016.0,1,5126c515a6d1d5895571ab916d1f74ebf41eb3b74fcf1d920e9a9e88294fc1da,3.912875,cycle,49152.0,,m2:cycle:n10:p3:g2026:a0,10,3,0.148167,338067456.0,0.101167,0,4096,,OK,warm_single,24.918917,20.270291
0.469458,statevector,335446016.0,1,f0f4ce7e880155ef081e1f8089357197ad292e544d89636daec86b46d5bb1836,3.969,cycle,16384.0,,m2:cycle:n10:p3:g2026:a1,10,3,0.134,338083840.0,0.103042,1,4096,,OK,warm_single,24.986708,20.311208
0.414166,statevector,335446016.0,1,2fbcad3bf41b67f2cb1510ee92611565b7adf8487be43d81534f904e41ac1998,3.89575,cycle,16384.0,,m2:cycle:n10:p3:g2026:a2,10,3,0.120416,338100224.0,0.102208,2,4096,,OK,warm_single,24.833707,20.301167
0.406583,statevector,335446016.0,1,ecac3294cdbb9f279c66685b146033c90d99883342629365c480b4a5e5dcb8ee,4.002791,cycle,65536.0,,m2:cycle:n10:p3:g2026:a3,10,3,0.113542,338165760.0,0.11325,3,4096,,OK,warm_single,25.352791000000003,20.716625
0.500167,statevector,335446016.0,1,3e290640eee19bbaead302f6821f6b0a6260ad2036a95871904f2e6b69efa3f0,3.937667,cycle,16384.0,,m2:cycle:n10:p3:g2027:a0,10,3,0.147208,338182144.0,0.099583,4,4096,,OK,warm_single,25.501084,20.816459
0.504709,statevector,335446016.0,1,455e5de6fc8ade847a853a0419afde22c94cc4a37e304d60326fdaa9c0490d7a,3.977125,cycle,49152.0,,m2:cycle:n10:p3:g2027:a1,10,3,0.16575,338231296.0,0.1075,5,4096,,OK,warm_single,25.397667,20.642583
0.430875,statevector,335446016.0,1,4f42a7d1a4d1ff3e52e2d6b57cd7f93ba34fb409a229ce9f70c5b694c52726aa,3.940125,cycle,32768.0,,m2:cycle:n10:p3:g2027:a2,10,3,0.112625,338264064.0,0.120292,6,4096,,OK,warm_single,25.525376,20.921459
0.403875,statevector,335446016.0,1,7762531c56f448f46a8d9463864aef0b07dfd893fa31ee688b7874ce5e6991b5,3.958125,cycle,49152.0,,m2:cycle:n10:p3:g2027:a3,10,3,0.121,338313216.0,0.100292,7,4096,,OK,warm_single,25.280666999999998,20.697375
0.5185,statevector,335446016.0,1,c284656043e0c59a3f3ca58bab4f75062b5958bde4f38db51d2374c2af6810af,3.903833,cycle,32768.0,,m2:cycle:n10:p3:g2028:a0,10,3,0.153291,338345984.0,0.104334,8,4096,,OK,warm_single,25.534333,20.854375
0.492125,statevector,335446016.0,1,bf45841ca9bba5043eed34bd86541958a2703631b7911d95344c30d99922b351,4.017125,cycle,32768.0,,m2:cycle:n10:p3:g2028:a1,10,3,0.145583,338378752.0,0.109083,9,4096,,OK,warm_single,25.584249,20.820333
1.286125,statevector,,1,,4.448667,cycle,,0.072041,,12,1,0.474417,,0.128333,,4096,,,cold_start,33.095625000000005,26.686042
1.254166,statevector,335429632.0,1,677ed217e870a96215b25bc99ce48147af341880583f071514a3464cf3144245,4.064292,cycle,16384.0,,m2:cycle:n12:p1:g2026:a0,12,1,0.455292,338149376.0,0.07825,0,4096,,OK,warm_single,26.3935,20.5415
0.505667,statevector,335429632.0,1,feb884ac26f3e6663753efed77b2dee9195938628d89c9a4a4a31a24b49e57be,3.986084,cycle,32768.0,,m2:cycle:n12:p1:g2026:a1,12,1,0.149708,338182144.0,0.073333,1,4096,,OK,warm_single,25.253751,20.538959
