backend,batch_size,circuits_per_second,execute_ms_count,execute_ms_maximum,execute_ms_mean,execute_ms_median,execute_ms_minimum,execute_ms_p10,execute_ms_p90,execute_ms_std,graph_family,incremental_peak_rss_bytes_count,incremental_peak_rss_bytes_maximum,incremental_peak_rss_bytes_mean,incremental_peak_rss_bytes_median,incremental_peak_rss_bytes_minimum,incremental_peak_rss_bytes_p10,incremental_peak_rss_bytes_p90,incremental_peak_rss_bytes_std,n_qubits,p,peak_rss_bytes_count,peak_rss_bytes_maximum,peak_rss_bytes_mean,peak_rss_bytes_median,peak_rss_bytes_minimum,peak_rss_bytes_p10,peak_rss_bytes_p90,peak_rss_bytes_std,sample_count,shots,timing_mode,total_ms_count,total_ms_maximum,total_ms_mean,total_ms_median,total_ms_minimum,total_ms_p10,total_ms_p90,total_ms_std,transpile_ms_count,transpile_ms_maximum,transpile_ms_mean,transpile_ms_median,transpile_ms_minimum,transpile_ms_p10,transpile_ms_p90,transpile_ms_std
matrix_product_state,1,6.100463959500583,10,153.04225,109.35531239999997,150.16924999999998,12.172917,12.324228600000001,151.80422439999998,66.96623701306271,cycle,10,65536.0,34406.4,32768.0,0.0,0.0,65536.0,24967.314255953836,12,2,10,339673088.0,339487948.8,339476480.0,339329024.0,339358515.2,339643596.8,129480.83076381958,10,4096,warm_single,10,166.848875,123.29670379999997,163.92195849999996,26.164251,26.6212251,165.87488689999998,66.77535993195966,10,12.46575,12.272941499999998,12.3532705,11.957416,11.9640535,12.456262200000001,0.19090671877894824
matrix_product_state,1,2.044571315274138,10,481.237,337.7121918,475.190896,12.663958,12.732358900000001,480.46536249999997,224.2187104808036,cycle,10,81920.0,44236.8,40960.0,16384.0,31129.6,67174.4,18997.2776342062,12,3,10,340475904.0,340262912.0,340246528.0,340049920.0,340094156.8,340446412.8,148564.32854341433,10,4096,warm_single,10,495.277584,351.8089331,489.10008300000004,26.872624,27.0809002,494.62253339999995,224.0742422844485,10,12.824042,12.4214959,12.4322915,12.169792,12.1919923,12.7251545,0.21654492280840965
matrix_product_state,1,9.53158225680903,10,92.920625,68.42010839999999,90.947021,14.108209,14.2940959,92.7546497,37.33217027420986,cycle,10,131072.0,49152.0,40960.0,16384.0,16384.0,72089.59999999998,33665.91967488124,14,1,10,340459520.0,340213760.0,340172800.0,340017152.0,340046643.2,340430028.8,153889.4812895136,10,4096,warm_single,10,107.75004100000001,82.8664581,104.9143755,28.795291000000002,29.143665699999996,107.6548651,37.10356860854884,10,12.842833,12.3423666,12.240541499999999,12.093709,12.1354834,12.6849955,0.260480515915917
matrix_product_state,1,4.821154721661636,10,194.661916,139.5369249,192.6770415,14.302916,14.5633922,194.3373166,86.29004198453734,cycle,10,131072.0,54067.2,40960.0,16384.0,31129.6,86835.19999999998,33710.187832958356,14,2,10,340197376.0,339935232.0,339886080.0,339722240.0,339751731.2,340182630.4,175953.27767715306,10,4096,warm_single,10,209.91462399999998,154.489575,207.41918850000002,29.395999999999997,29.5124015,208.9525627,86.24559234064648,10,12.967042,12.435208600000001,12.3790835,12.102917,12.1359173,12.7027795,0.2691763705739749
matrix_product_state,1,0.9480583705317862,10,1049.471584,735.6388376,1042.18075,14.52075,14.611875,1048.9250959,497.49654354633594,cycle,10,114688.0,63897.6,65536.0,16384.0,31129.6,85196.79999999999,28325.319977402236,14,3,10,341983232.0,341685043.2,341639168.0,341426176.0,341485158.4,341938995.2,187888.91686360262,10,4096,warm_single,10,1063.9143769999998,749.9128043999998,1054.7873749999999,29.962,30.033361900000003,1063.7779874,496.77076108043474,10,12.834084,12.5209417,12.444229,12.20625,12.2205375,12.8050581,0.25159602713214263
matrix_product_state,1,8.412160888970245,10,106.225,78.3661001,104.5247085,15.924625,16.196349400000003,105.6698503,42.87578311996448,cycle,10,81920.0,26214.4,16384.0,0.0,0.0,81920.0,32031.546405934812,16,1,10,340033536.0,339938508.8,339992576.0,339804160.0,339804160.0,340033536.0,96094.63921780445,10,4096,warm_single,10,120.973709,93.32919150000001,118.87552,31.609,31.6903015,120.6459956,42.49438856886633,10,12.664459,12.3441543,12.362646000000002,12.062542,12.1181548,12.501933399999999,0.18516879175441245
matrix_product_state,1,4.011923428405374,10,237.758209,169.416929,234.062541,15.921208,16.092995499999997,236.1821578,105.82599995257839,cycle,10,114688.0,34406.4,24576.0,0.0,0.0,70451.19999999998,38963.4653809038,16,2,10,340803584.0,340680704.0,340738048.0,340525056.0,340525056.0,340803584.0,111723.98446170813,10,4096,warm_single,10,253.355209,184.7708253,249.2570005,31.312458,31.498308899999994,251.4535837,105.78877059076817,10,12.816458,12.369212600000001,12.3382295,12.048125,12.101375299999999,12.6603836,0.26401432586559903
matrix_product_state,1,0.6177631777330633,10,1609.045041,1128.3723665000002,1603.412479,16.558,16.6505119,1607.8347660000002,767.1495789061396,cycle,10,81920.0,32768.0,16384.0,0.0,0.0,81920.0,37040.56481450813,16,3,10,341065728.0,340967424.0,341016576.0,340836352.0,340836352.0,341065728.0,90730.48358003316,10,4096,warm_single,10,1624.17275,1143.8155912999998,1618.7432919999999,32.55625,32.5923625,1622.9911984999999,766.7737973076074,10,12.856667,12.4617875,12.4462505,12.10525,12.3091369,12.6368042,0.19871007390962003
matrix_product_state,1,7.528044374268349,5,119.483041,78.24274160000002,117.389083,17.794459,17.8155754,119.1697746,55.1624606445532,cycle,5,81920.0,36044.8,16384.0,0.0,6553.6,75366.4,35519.665584011345,18,1,5,340426752.0,340344832.0,340328448.0,340312064.0,340312064.0,340393984.0,47767.157922572704,5,4096,warm_single,5,134.174083,93.45834179999999,132.836624,33.372541999999996,33.391008799999994,133.9003502,54.83154944325067,5,12.476583,12.361099800000002,12.367125,12.254333,12.287299800000001,12.434233,0.07977633165106014
matrix_product_state,1,3.463729770194518,5,275.854792,171.994067,273.184542,18.482875,18.5104918,275.0713588,140.10780531284007,cycle,5,114688.0,62259.2,65536.0,0.0,19660.800000000003,101580.8,42408.93249304916,18,2,5,340295680.0,340184268.8,340180992.0,340049920.0,340069580.8,340295680.0,111963.99329784553,5,4096,warm_single,5,292.098709,187.78988400000003,288.70612500000004,34.190501,34.282651,291.072509,140.1168672264256,5,12.726792,12.494541799999999,12.509334,12.280375,12.3420582,12.6447252,0.16152007632396673
matrix_product_state,1,0.45832932772597956,5,2169.9685,1308.6268747999998,2166.191625,18.293666,18.6427328,2169.7868,1177.510302232826,cycle,5,98304.0,49152.0,65536.0,0.0,6553.6,85196.8,40132.43994575959,18,3,5,341622784.0,341524480.0,341491712.0,341475328.0,341475328.0,341596569.6,64503.87250390476,5,4096,warm_single,5,2185.30296,1324.1763168000002,2181.83725,34.185958,34.389258,2185.1262592000003,1177.3634834470831,5,12.684167,12.426391599999999,12.401666,12.078792,12.1791916,12.665517,0.2458664075271366
