best_classical_backend,graph_family,memory_lower_than_classical,n_qubits,neural_latency_budget_ms,neural_peak_memory_budget_mib,p,shots,speedup,speedup_ge_10x,speedup_ge_2x,speedup_ge_5x
statevector,cycle,False,10,250,4096,1,4096,0.097894912,False,False,False
statevector,cycle,True,10,500,256,1,4096,0.048947456,False,False,False
statevector,cycle,False,10,500,512,1,4096,0.048947456,False,False,False
statevector,cycle,False,10,500,1024,1,4096,0.048947456,False,False,False
statevector,cycle,False,10,500,2048,1,4096,0.048947456,False,False,False
statevector,cycle,False,10,500,4096,1,4096,0.048947456,False,False,False
statevector,cycle,True,10,10,256,2,4096,2.5316312499999998,False,True,False
statevector,cycle,False,10,10,512,2,4096,2.5316312499999998,False,True,False
statevector,cycle,False,10,10,1024,2,4096,2.5316312499999998,False,True,False
statevector,cycle,False,10,10,2048,2,4096,2.5316312499999998,False,True,False
statevector,cycle,False,10,10,4096,2,4096,2.5316312499999998,False,True,False
statevector,cycle,True,10,25,256,2,4096,1.0126525,False,False,False
statevector,cycle,False,10,25,512,2,4096,1.0126525,False,False,False
statevector,cycle,False,10,25,1024,2,4096,1.0126525,False,False,False
statevector,cycle,False,10,25,2048,2,4096,1.0126525,False,False,False
statevector,cycle,False,10,25,4096,2,4096,1.0126525,False,False,False
statevector,cycle,True,10,50,256,2,4096,0.50632625,False,False,False
statevector,cycle,False,10,50,512,2,4096,0.50632625,False,False,False
statevector,cycle,False,10,50,1024,2,4096,0.50632625,False,False,False
statevector,cycle,False,10,50,2048,2,4096,0.50632625,False,False,False
statevector,cycle,False,10,50,4096,2,4096,0.50632625,False,False,False
statevector,cycle,True,10,100,256,2,4096,0.253163125,False,False,False
statevector,cycle,False,10,100,512,2,4096,0.253163125,False,False,False
statevector,cycle,False,10,100,1024,2,4096,0.253163125,False,False,False
statevector,cycle,False,10,100,2048,2,4096,0.253163125,False,False,False
statevector,cycle,False,10,100,4096,2,4096,0.253163125,False,False,False
statevector,cycle,True,10,250,256,2,4096,0.10126525,False,False,False
statevector,cycle,False,10,250,512,2,4096,0.10126525,False,False,False
statevector,cycle,False,10,250,1024,2,4096,0.10126525,False,False,False
statevector,cycle,False,10,250,2048,2,4096,0.10126525,False,False,False
statevector,cycle,False,10,250,4096,2,4096,0.10126525,False,False,False
statevector,cycle,True,10,500,256,2,4096,0.050632625,False,False,False
statevector,cycle,False,10,500,512,2,4096,0.050632625,False,False,False
statevector,cycle,False,10,500,1024,2,4096,0.050632625,False,False,False
statevector,cycle,False,10,500,2048,2,4096,0.050632625,False,False,False
statevector,cycle,False,10,500,4096,2,4096,0.050632625,False,False,False
statevector,cycle,True,10,10,256,3,4096,2.5375229,False,True,False
statevector,cycle,False,10,10,512,3,4096,2.5375229,False,True,False
statevector,cycle,False,10,10,1024,3,4096,2.5375229,False,True,False
statevector,cycle,False,10,10,2048,3,4096,2.5375229,False,True,False
statevector,cycle,False,10,10,4096,3,4096,2.5375229,False,True,False
statevector,cycle,True,10,25,256,3,4096,1.01500916,False,False,False
statevector,cycle,False,10,25,512,3,4096,1.01500916,False,False,False
statevector,cycle,False,10,25,1024,3,4096,1.01500916,False,False,False
